timestamp,vehicle_id,site_lat,site_lon,ambient_temp_c,relative_humidity,solar_radiation_wm2,wind_speed_ms,reefer_internal_temp,door_open_minutes
2026-06-01 00:00:00,V102,33.43483015056412,-111.96042201828519,32.75,29.8,330.7,5.27,1.65,8
2026-06-01 01:00:00,V101,33.47636531133312,-111.90967323686898,31.79,30.4,856.6,2.14,5.54,4
2026-06-01 02:00:00,V102,33.58457500645543,-111.94293781917747,32.97,29.4,531.3,1.39,4.36,9
2026-06-01 03:00:00,V101,33.375758334622624,-112.1647068035522,34.28,34.1,938.2,4.22,1.98,7
2026-06-01 04:00:00,V101,33.40777522437487,-111.97808090037434,31.65,17.7,496.8,0.71,1.97,5
2026-06-01 05:00:00,V103,33.41380757697672,-112.10409995026784,31.65,16.0,736.4,3.91,4.58,8
2026-06-01 06:00:00,V101,33.48166144729346,-111.90347520317638,34.37,16.7,411.4,4.34,6.06,9
2026-06-01 07:00:00,V102,33.407019615912,-112.05439230505203,36.26,28.3,472.9,1.68,2.35,9
2026-06-01 08:00:00,V102,33.46005357758991,-112.16326983049233,37.3,23.3,343.0,0.73,5.18,7
2026-06-01 09:00:00,V103,33.53453709895351,-111.9824443355918,41.3,33.7,460.3,2.5,3.19,5
2026-06-01 10:00:00,V102,33.51161567823366,-112.10309664048414,41.7,44.8,610.4,1.04,5.23,10
2026-06-01 11:00:00,V102,33.433910593953776,-111.9008765528755,42.89,26.6,943.8,1.14,5.02,6
2026-06-01 12:00:00,V102,33.55926485330225,-111.90606526264365,44.36,32.2,698.2,1.9,4.23,10
2026-06-01 13:00:00,V101,33.46744207487816,-112.00315979459383,40.72,27.5,349.4,2.13,1.25,4
2026-06-01 14:00:00,V101,33.46197175185066,-112.1610520653145,39.8,40.4,233.7,3.41,5.02,7
2026-06-01 15:00:00,V102,33.310256329781744,-111.99394170069749,39.64,42.1,294.8,4.23,4.75,12
2026-06-01 16:00:00,V103,33.59600789410715,-112.17209085406199,36.48,41.3,621.9,3.76,4.62,8
2026-06-01 17:00:00,V101,33.336891242558885,-112.19119075226928,35.58,44.2,773.9,1.32,4.29,7
2026-06-01 18:00:00,V103,33.36933927372829,-111.95311246613356,30.64,15.8,905.3,1.45,2.68,6
2026-06-01 19:00:00,V102,33.315509051172455,-112.1370741156949,29.88,40.2,211.9,5.33,5.62,12
2026-06-01 20:00:00,V102,33.492000890051074,-112.08629186213427,34.2,37.6,592.1,3.57,5.35,5
2026-06-01 21:00:00,V101,33.3674103530918,-111.90796278300715,31.66,21.9,553.2,5.28,2.39,6
2026-06-01 22:00:00,V102,33.35400313124182,-112.09894784944167,32.1,43.7,692.0,2.54,5.97,5
2026-06-01 23:00:00,V101,33.32656667526697,-112.11105306561501,29.86,19.4,619.7,3.88,4.2,10
2026-06-02 00:00:00,V102,33.330992687137204,-111.92453760011317,31.18,35.4,715.3,3.38,4.19,10
2026-06-02 01:00:00,V102,33.47540121013277,-112.16677546640432,32.17,21.7,693.6,2.26,3.74,5
2026-06-02 02:00:00,V101,33.50646235975998,-111.97212527696561,30.27,27.9,287.8,3.08,3.88,11
2026-06-02 03:00:00,V101,33.419213696539316,-111.90358033000417,32.56,36.6,799.8,3.26,6.06,8
2026-06-02 04:00:00,V101,33.44396912447762,-111.92961119676761,31.1,31.9,292.4,1.6,5.55,4
2026-06-02 05:00:00,V102,33.505790320794894,-112.00449962438807,31.56,27.8,723.9,2.23,5.52,8
2026-06-02 06:00:00,V102,33.30521393705564,-112.10578176150219,31.1,24.8,512.1,4.85,4.28,3
2026-06-02 07:00:00,V103,33.396939197121085,-112.12370340564651,37.88,40.2,585.4,5.54,5.33,4
2026-06-02 08:00:00,V101,33.5919293244211,-111.95422346853857,37.98,19.3,877.5,2.48,2.75,6
2026-06-02 09:00:00,V102,33.47403366890864,-111.93605342581449,38.9,27.9,867.4,2.19,4.88,13
2026-06-02 10:00:00,V102,33.37626737396925,-112.0423695262363,43.63,42.1,813.4,1.57,3.77,6
2026-06-02 11:00:00,V101,33.456519013990864,-112.12669801776407,41.76,40.4,582.6,4.23,0.91,5
2026-06-02 12:00:00,V103,33.40279604643627,-112.16611703747665,44.31,27.0,752.2,2.28,1.62,4
2026-06-02 13:00:00,V101,33.45967349664789,-112.17384615965045,40.65,37.9,584.7,5.93,3.01,8
2026-06-02 14:00:00,V103,33.33772245354199,-111.98427676579385,40.4,39.7,852.2,2.29,4.62,5
2026-06-02 15:00:00,V102,33.33981439614578,-112.07396438164568,40.78,41.7,502.1,2.67,3.01,6
2026-06-02 16:00:00,V103,33.34306270861182,-111.92839203771665,39.11,31.3,927.7,3.82,3.11,10
2026-06-02 17:00:00,V102,33.581945937578055,-111.97809860978198,35.36,21.1,899.2,4.91,5.14,16
2026-06-02 18:00:00,V101,33.519869675502406,-112.14262187462563,31.83,22.7,756.2,3.08,3.17,5
2026-06-02 19:00:00,V101,33.34871456839869,-112.01586677435529,31.55,23.9,409.6,2.82,6.0,10
2026-06-02 20:00:00,V101,33.35650472512968,-112.06934836368056,29.78,32.8,298.7,5.98,5.75,6
2026-06-02 21:00:00,V103,33.519248842461266,-112.02682508076943,30.92,16.0,841.0,0.56,4.03,10
2026-06-02 22:00:00,V102,33.34684915343765,-111.97857926299845,31.31,34.1,324.0,5.42,5.13,6
2026-06-02 23:00:00,V101,33.37036838800044,-111.95814123569886,33.59,25.9,840.7,1.32,4.93,9
2026-06-03 00:00:00,V101,33.58900404984612,-111.94687880207799,32.52,23.9,568.1,4.82,3.63,11
2026-06-03 01:00:00,V102,33.376591957418526,-112.1238075376284,29.36,41.4,504.9,3.9,5.29,4
2026-06-03 02:00:00,V101,33.498489705111346,-112.19066532002479,32.49,28.8,877.4,2.38,5.51,12
2026-06-03 03:00:00,V102,33.59358938622016,-111.97821157945057,31.42,17.9,652.9,5.31,2.57,10
2026-06-03 04:00:00,V102,33.412289030141935,-112.16809688212327,30.98,39.8,632.5,0.57,4.23,6
2026-06-03 05:00:00,V102,33.30525479725861,-112.10552412341612,32.92,16.4,619.1,1.75,4.21,12
2026-06-03 06:00:00,V102,33.37324418712671,-112.1988548597627,33.55,36.8,478.4,3.62,5.27,10
2026-06-03 07:00:00,V102,33.549263157402514,-111.99549915527952,36.5,38.2,789.2,2.43,3.33,6
2026-06-03 08:00:00,V103,33.55938265078651,-112.14986039655864,36.74,25.6,389.6,3.86,3.1,10
2026-06-03 09:00:00,V101,33.53055580935714,-112.0034152770925,40.02,39.7,904.2,0.63,4.25,8
2026-06-03 10:00:00,V103,33.33393294572297,-111.90247721484965,42.89,30.5,870.5,1.14,5.77,10
2026-06-03 11:00:00,V101,33.53865311150892,-112.178198738517,45.05,28.9,453.1,1.2,2.2,6
2026-06-03 12:00:00,V103,33.57560333909805,-112.17687659641456,43.28,16.4,747.1,1.54,2.46,5
2026-06-03 13:00:00,V102,33.48018286276387,-112.0978859722,43.31,23.7,629.9,3.03,3.22,15
2026-06-03 14:00:00,V101,33.58226260690142,-111.9400840457246,40.73,42.9,453.2,4.64,3.49,11
2026-06-03 15:00:00,V101,33.54805166511356,-112.1353410393626,38.69,26.8,941.4,5.48,1.35,6
2026-06-03 16:00:00,V103,33.50009145509727,-112.0918866540209,39.22,31.4,218.9,5.09,6.25,10
2026-06-03 17:00:00,V103,33.47315557101352,-112.17944837801191,37.14,31.0,389.5,1.58,3.8,8
2026-06-03 18:00:00,V101,33.40457210017259,-111.97105341262234,31.89,32.7,590.1,2.93,3.58,13
2026-06-03 19:00:00,V103,33.34778623357284,-112.07750809717217,33.51,16.8,591.5,1.6,6.43,5
2026-06-03 20:00:00,V103,33.48148617680716,-111.97222538008175,32.54,25.9,641.7,1.95,5.08,10
2026-06-03 21:00:00,V103,33.395433466085436,-111.92891764669596,31.03,36.7,763.8,3.27,3.2,10
2026-06-03 22:00:00,V102,33.559931600258295,-112.13017105586961,32.54,21.0,667.6,0.87,4.25,2
2026-06-03 23:00:00,V102,33.59800108120759,-111.95778119089802,34.31,21.1,650.2,1.7,3.94,9
2026-06-04 00:00:00,V103,33.52572832878467,-112.18227183297653,31.95,15.3,240.1,5.64,6.17,8
2026-06-04 01:00:00,V103,33.327144508586116,-111.93034578354593,34.35,28.1,482.4,3.06,3.75,12
2026-06-04 02:00:00,V102,33.38660567865919,-112.00476943573238,28.07,41.5,374.0,2.95,1.84,7
2026-06-04 03:00:00,V102,33.33273288952972,-111.9377319827585,33.23,16.6,399.0,0.58,1.18,11
2026-06-04 04:00:00,V101,33.495153494337515,-112.19994348013303,32.13,20.7,615.8,1.86,6.21,7
2026-06-04 05:00:00,V101,33.52955725936673,-112.1492756788932,31.55,24.3,349.6,5.26,2.82,8
2026-06-04 06:00:00,V102,33.577702449264216,-112.08307218377206,32.14,37.0,420.5,1.41,5.01,10
2026-06-04 07:00:00,V103,33.43145170392359,-112.08614912898759,32.12,34.2,377.8,2.78,4.11,7
2026-06-04 08:00:00,V103,33.57041269487654,-112.13198088512296,37.67,27.5,911.4,0.58,3.38,9
2026-06-04 09:00:00,V103,33.5633673477124,-112.08551641803984,41.02,37.8,908.5,3.13,3.61,8
2026-06-04 10:00:00,V103,33.395158715029616,-112.16134538639993,44.61,33.3,657.5,0.62,6.38,7
2026-06-04 11:00:00,V101,33.560670187662176,-112.0761716612202,42.81,41.9,893.4,5.01,1.83,9
2026-06-04 12:00:00,V102,33.41270167556452,-111.95929370125222,42.79,39.5,789.4,5.04,3.42,10
2026-06-04 13:00:00,V103,33.389060782368084,-112.056278981069,42.84,22.6,642.5,4.83,5.36,6
2026-06-04 14:00:00,V101,33.49472239763832,-112.19459997331644,43.77,23.1,204.8,2.06,2.08,3
2026-06-04 15:00:00,V103,33.398514368365525,-112.07356678752623,40.98,18.8,779.4,5.1,5.98,7
2026-06-04 16:00:00,V102,33.48906262449874,-112.19184749517275,37.21,25.1,726.9,3.49,5.34,2
2026-06-04 17:00:00,V101,33.48294954164961,-111.91012697678796,35.88,45.0,661.4,2.56,4.41,10
2026-06-04 18:00:00,V102,33.46903167820454,-112.16176381217315,32.15,27.2,770.3,3.94,3.25,4
